! Aero mudule input file for airfoil data

Airfoil_Name  Section05
t/c            0.243000         ! thickness ratio w.r.t. chord

format 1       !  1: alfa-cl-cd-cm	; 2: alfa-cl; alfa-cd; alfa-cm

Reynolds_Nr 10000000.000000
-180.000000    0.000000    0.000000    0.000000
-175.000000    0.173600    0.009900    0.021800
-170.000000    0.342000    0.039200    0.043400
-165.000000    0.500000    0.087100    0.064700
-160.000000    0.642800    0.152100    0.085500
-155.000000    0.766000    0.232200    0.105700
-150.000000    0.866000    0.325000    0.125000
-145.000000    0.939700    0.427700    0.143400
-140.000000    0.984800    0.537100    0.160700
-135.000000    1.000000    0.650000    0.176800
-130.000000    0.984800    0.762900    0.191500
-125.000000    0.939700    0.872300    0.204800
-120.000000    0.866000    0.975000    0.216500
-115.000000    0.766000    1.067800    0.226600
-110.000000    0.642800    1.147900    0.234900
-105.000000    0.500000    1.212900    0.241500
-100.000000    0.342000    1.260800    0.246200
-95.000000    0.173600    1.290100    0.249000
-90.000000    0.000000    1.300000    0.250000
-85.000000    -0.173600    1.290100    0.249000
-80.000000    -0.342000    1.260800    0.246200
-75.000000    -0.500000    1.212900    0.241500
-70.000000    -0.642800    1.147900    0.234900
-65.000000    -0.766000    1.067800    0.226600
-60.000000    -0.866000    0.975000    0.216500
-55.000000    -0.939700    0.872300    0.204800
-50.000000    -0.984800    0.762900    0.191500
-45.000000    -1.000000    0.650000    0.176800
-40.000000    -0.971600    0.542200    0.141600
-39.000000    -0.963900    0.520600    0.134600
-38.000000    -0.936200    0.499100    0.127600
-37.000000    -0.958500    0.477500    0.120500
-36.000000    -0.950800    0.455900    0.113500
-35.000000    -0.933100    0.434400    0.106500
-34.000000    -0.935400    0.412800    0.099400
-33.000000    -0.927700    0.391300    0.092400
-32.000000    -0.926400    0.346500    0.044700
-30.000000    -0.917800    0.292700    0.032700
-28.000000    -0.909100    0.248800    0.020800
-26.000000    -0.902400    0.214500    0.010200
-24.000000    -0.895600    0.180100    -0.000400
-22.000000    -0.884100    0.151300    -0.008900
-20.000000    -0.882600    0.127400    -0.017400
-18.000000    -0.877800    0.108500    -0.022900
-16.000000    -0.883100    0.089600    -0.028500
-14.000000    -0.884200    0.069800    -0.030000
-12.000000    -0.902466    0.050545    0.000000
-10.000000    -0.868233    0.016842    0.000000
-8.000000    -0.651822    0.011101    0.000000
-6.000000    -0.398255    0.008230    0.000000
-4.000000    -0.135581    0.007368    0.000000
-2.000000    0.126576    0.006986    0.000000
0.000000    0.387284    0.007081    0.000000
2.000000    0.644060    0.007560    0.000000
4.000000    0.893072    0.008134    0.000000
6.000000    1.136600    0.009665    0.000000
8.000000    1.342662    0.012058    0.000000
10.000000    1.394203    0.029570    -0.000200
12.000000    1.193006    0.048039    -0.000600
14.000000    1.216603    0.063541    -0.001300
16.000000    1.247962    0.092250    -0.002300
18.000000    1.317409    0.129188    -0.003500
20.000000    1.401448    0.172442    -0.184500
22.000000    1.456922    0.222012    -0.197700
24.000000    1.497803    0.285457    -0.213300
26.000000    1.515087    0.337611    -0.228700
28.000000    1.521297    0.406033    -0.243400
30.000000    1.516226    0.467852    -0.257300
32.000000    1.505462    0.531010    -0.270100
33.000000    1.494802    0.560388    -0.174600
34.000000    1.489420    0.586609    -0.179900
35.000000    1.472861    0.611872    -0.185100
36.000000    1.465823    0.636179    -0.190000
37.000000    1.458164    0.659720    -0.194500
38.000000    1.439742    0.682399    -0.198800
39.000000    1.420802    0.704313    -0.203000
40.000000    1.391202    0.725462    -0.207000
45.000000    1.281806    0.820870    -0.224100
50.000000    1.113210    0.877042    -0.194400
55.000000    0.980545    0.954515    -0.205400
60.000000    0.866000    1.025000    -0.216500
65.000000    0.766000    1.067800    -0.226600
70.000000    0.642800    1.147900    -0.234900
75.000000    0.500000    1.212900    -0.241500
80.000000    0.342000    1.260800    -0.246200
85.000000    0.173600    1.290100    -0.249000
90.000000    0.000000    1.300000    -0.250000
95.000000    -0.173600    1.290100    -0.249000
100.000000    -0.342000    1.260800    -0.246200
105.000000    -0.500000    1.212900    -0.241500
110.000000    -0.642800    1.147900    -0.234900
115.000000    -0.766000    1.067800    -0.226600
120.000000    -0.866000    0.975000    -0.216500
125.000000    -0.939700    0.872300    -0.204800
130.000000    -0.984800    0.762900    -0.191500
135.000000    -1.000000    0.650000    -0.176800
140.000000    -0.984800    0.537100    -0.160700
145.000000    -0.939700    0.427700    -0.143400
150.000000    -0.866000    0.325000    -0.125000
155.000000    -0.766000    0.232200    -0.105700
160.000000    -0.642800    0.152100    -0.085500
165.000000    -0.500000    0.087100    -0.064700
170.000000    -0.342000    0.039200    -0.043400
175.000000    -0.173600    0.009900    -0.021800
180.000000    0.000000    0.000000    0.000000
